RID	Individual	Season	x	meanRum	BIC_RumDec_Free	BIC_RumDec_Fix	BIC_RumInc_Free	BIC_RumInc_Fix	DeltaBIC_RumDec_Fix	DeltaBIC_RumDec_Free	DeltaBIC_RumFree	parameters_tauWake	parameters_tauNREM	parameters_tau_swa_synchro	parameters_tau_swa_desynchro	parameters_init_PS
1	2	Dec	1	2.69	22549.1317380117	22602.0022009159	22524.2840842782	22516.5950093289	85.4071915869499	24.84765373345	-52.8704629041968	30	6.84025326533547	0.0303099089000463	0.0094450367567175	1.61144431189675
2	2	Jul	1	13.3811111111111	57909.7616949014	57843.3155018925	58043.4096226032	58038.4179415896	-195.102439697097	-133.647927701859	66.4461930088364	13.9831883349454	5.62052882405717	0.0348321064798857	0.0037399611173008	2.62499761388003
3	2	Sep	1	8.44777777777778	37720.7562519545	37728.9764764817	37938.003503597	37959.5874913662	-230.611014884518	-217.247251642468	-8.22022452719102	29.1186656692442	5.07502055955054	0.0241337334000733	0.0125538147385376	1.95817548790866
4	3	Dec	1	15.4888888888889	41427.6024574355	41560.3496127398	41838.8880560641	41896.3702307948	-336.020618055009	-411.285598628616	-132.747155304285	7.85240750551781	2.9984736329321	0.040382399091523	0.00471426267913039	3.51328255256776
5	3	Jul	1	10.1766666666667	56286.2732081716	56274.6402101171	56331.9681762425	56326.2153122973	-51.5751021802498	-45.6949680709076	11.6329980545779	21.3433996305586	7.79472994259338	0.0418869084000577	0.00166405497735515	2.52457783906356
6	3	Sep	1	9.06888888888889	46303.8124399076	46275.8263576609	46319.7210201849	46302.5114431351	-26.685085474237	-15.9085802772606	27.9860822467599	27.0598060711106	7.49254170280198	0.0275122407189155	0.00637594699850853	2.82827512426332
7	5	Jul	1	3.90888888888889	60458.8446746171	60461.2895581931	60491.6510119852	60508.3609974451	-47.0714392519658	-32.8063373681143	-2.44488357599039	12.5034732618174	5.09547725561269	0.0298499240959297	0.00374634557654238	3.25213732356164
8	5	Sep	1	3.05222222222222	36553.3085826285	36611.6440231932	36536.761248348	36527.0402252102	84.6037979829562	16.5473342805562	-58.3354405646605	23.056257344378	3.11052878428599	0.0185119400592185	0.00776828728513228	1.72980228379483
9	6	Dec	1	9.50222222222222	35722.7865071516	35816.0437533491	35959.7536078154	35950.0840088641	-134.040255514992	-236.967100663809	-93.2572461974632	19.037964049655	5.41369412625376	0.0440467995418515	0.00637871348705284	2.08411121347091
10	6	Jul	1	6.70666666666667	71537.6490356302	71506.7347158498	71439.8767398955	71470.2474612569	36.4872545929684	97.7722957346268	30.9143197803205	25.5592018084992	17.5315514795669	0.0491537832911045	0.00285743915837118	3.12975521106451
11	6	Sep	1	5.71555555555556	44781.1839557872	44729.8927257448	44766.4830787556	44758.7324165856	-28.8396908408249	14.7008770316024	51.2912300424359	10.521595074714	5.40553159031033	0.0404916085807396	0.00428135419839509	3.21740837372565
