RID	Individual	Season	DeltaMSE_RumWNvsRUM	DeltaBIC_RumWNvsRUM	DeltaMSE_RumDecreaseS	DeltaBIC_RumDecreaseS	DeltaMSE_RumIsFree	DeltaBIC_RumIsFree	parameters_L	parameters_tauWake	parameters_tauNREM	parameters_tau_swa_synchro	parameters_tau_swa_desynchro	parameters_init_PS
1	2	Dec	-0.00154655168540981	-141.729871481901	0.00154795271756136	-61.0564649933658	-0.00123313209913511	-61.0564649933658	0.286622725204853	48	4.19514737869929	0.0572594876877473	0.00359766624742744	2.01350913962721
2	2	Jul	0.00190673531692832	346.250440115802	-0.00250410935277762	105.698252928783	0.000761982071477041	105.698252928783	0.226600775598616	19.5507570839763	3.06555077846291	0.0549689086343942	0.0020359716602534	2.5
3	2	Sep	0.00438771364545418	833.063011326899	-0.00267833834616205	-14.2874352455665	-0.000210852088131652	-14.2874352455665	0.265333271240816	37.9079934325351	2.83647685659988	0.0343209049983007	0.00573195162660225	2.06268900065634
4	3	Dec	0.00497859603358852	681.654288664695	-0.00413228151266082	-32.6828158559074	-0.000457959527934093	-32.6828158559074	0.204336661705709	20.1485274182823	2.32517225292338	0.0480954214682763	0.00304928733492859	2.5
5	3	Jul	0.000783121849453366	147.812754004768	-0.00137383669950913	48.3525100907191	0.000304920452907587	48.3525100907191	0.231726586050365	29.617104258495	4.47388071603374	0.0694687860265308	0.00122716116746265	2.5
6	3	Sep	0.00125092897799056	194.889686566035	-0.000275283567847118	-5.04308978727568	-0.000145642844052607	-5.04308978727568	0.340233706125619	40.1005939702646	3.57094094598596	0.0491579335213494	0.00320269161074197	2.5
7	5	Jul	0.0013601206959242	290.578515946958	3.67408562943483e-05	-37.4726285804682	-0.000346018290568462	-37.4726285804682	0.200564950711666	27.1998173516525	3.39650422698976	0.0401321955220871	0.00281887798525515	2.5
8	5	Sep	0.00781527665437691	1492.53898749619	-3.19977692762041e-05	-15.19392826891	-0.000215632730276916	-15.19392826891	0.233126026480074	31.5506849857427	2	0.028246824473448	0.00550736936576849	2.20416544372416
9	6	Dec	0.00256135222208516	383.353081899448	-0.00239969109414057	-80.1216631454117	-0.000915507655467163	-80.1216631454117	0.154842394194137	17.9532889570587	2.90424651746759	0.0618084321113145	0.00444345352380571	2.5
10	6	Jul	0.00141763363539935	233.058422065569	-0.000237166520559218	49.5327966542827	0.000321727783311465	49.5327966542827	0.127256159667529	32.5999826167772	7.02321188821404	0.0741301334244018	0.00224177848952	2.5
11	6	Sep	0.000603002104233946	78.4786825828724	-6.64038950326518e-07	20.2840716913379	0.000119372433937281	20.2840716913379	0.160546331267947	24.9367272392431	4.34254376452861	0.0541592327889812	0.00295340858357142	2.5
